fixation_rate_AOI_A1,fixation_rate_AOI_A2,fixation_rate_AOI_A3,fixation_rate_AOI_A4,fixation_rate_AOI_A5,fixation_rate_AOI_A6,avg_fixation_time_AOI_A1,avg_fixation_time_AOI_A2,avg_fixation_time_AOI_A3,avg_fixation_time_AOI_A4,avg_fixation_time_AOI_A5,avg_fixation_time_AOI_A6,is_correct,cluster
0.211494253,0.434482759,0.411494253,0.188505747,0.0,0.165517241,677.3369565,729.6137566,748.9385475,951.0,0.0,704.375,1,0
0.387301587,0.546031746,0.487301587,0.066666667,0.0,0.0,714.602459,720.5523256,747.4332248,471.4285714,0.0,0.0,1,0
0.348880597,0.311567164,0.190298507,0.339552239,0.173507463,0.0,599.2245989,1005.592814,1171.147059,568.3736264,646.5913978,0.0,1,0
0.434554974,0.269633508,0.167539267,0.230366492,0.180628272,0.065445026,560.8975904,709.1747573,754.328125,409.1136364,412.5217391,642.88,0,1
0.485933504,0.42455243,0.375959079,0.084398977,0.0,0.00511509,363.4736842,603.8072289,640.7891156,473.2727273,0.0,130.0,0,1
0.29740519,0.4750499,0.323353293,0.201596806,0.0,0.025948104,468.5838926,443.3529412,492.7469136,833.3861386,0.0,375.5384615,1,0
0.45751634,0.302832244,0.071895425,0.132897603,0.030501089,0.106753813,458.0285714,531.5323741,880.7575758,374.8196721,242.4285714,525.7346939,1,0
0.368992248,0.486821705,0.429457364,0.144186047,0.0,0.0,560.4915966,619.8598726,640.3104693,532.4623656,0.0,0.0,1,0
0.367837338,0.347504621,0.164510166,0.284658041,0.234750462,0.0,546.2713568,696.2765957,712.5617978,542.4025974,564.8976378,0.0,1,0
0.389830508,0.343220339,0.31779661,0.266949153,0.004237288,0.0,641.3804348,630.345679,651.5466667,376.5238095,914.0,0.0,1,0
0.472868217,0.379844961,0.108527132,0.147286822,0.0,0.0,511.3224044,844.877551,582.047619,458.9824561,0.0,0.0,1,0
0.395225464,0.448275862,0.143236074,0.124668435,0.023872679,0.031830239,533.3355705,576.3254438,602.2407407,540.4893617,364.3333333,533.25,1,0
0.600732601,0.183150183,0.131868132,0.216117216,0.025641026,0.0,488.3719512,605.62,727.25,360.4915254,306.4285714,0.0,0,1
0.519607843,0.397058824,0.31372549,0.083333333,0.0,0.0,545.4716981,580.1234568,641.9375,2409.235294,0.0,0.0,1,0
0.43019943,0.45014245,0.282051282,0.11965812,0.088319088,0.0,536.9205298,462.8924051,471.9393939,461.8095238,454.0322581,0.0,0,1
0.584848485,0.403030303,0.345454545,0.0,0.0,0.012121212,401.5284974,478.112782,488.7631579,0.0,0.0,397.375,1,0
0.45952381,0.307142857,0.278571429,0.176190476,0.147619048,0.057142857,506.1450777,422.8837209,430.9316239,349.7162162,349.1935484,259.625,0,1
0.381984036,0.313568985,0.237172178,0.247434436,0.22690992,0.057012543,407.9044776,473.6945455,468.5048077,397.6820276,384.6733668,550.08,1,0
0.316030534,0.389312977,0.351145038,0.233587786,0.032061069,0.061068702,745.9033816,474.9019608,472.073913,434.2287582,262.8095238,398.725,0,1
0.256880734,0.541284404,0.365137615,0.201834862,0.0,0.0,383.3785714,438.4779661,389.8291457,468.6454545,0.0,0.0,1,0
0.326633166,0.525963149,0.092127303,0.128978224,0.030150754,0.018425461,424.5846154,445.4840764,473.4,423.2467532,371.5555556,324.0909091,1,0
0.193359375,0.31640625,0.19921875,0.490234375,0.455078125,0.0,756.7777778,554.2901235,563.5294118,584.9442231,603.6137339,0.0,0,1
0.425981873,0.495468278,0.253776435,0.078549849,0.0,0.0,617.0921986,602.1890244,713.25,262.8076923,0.0,0.0,1,0
0.590243902,0.351219512,0.27804878,0.058536585,0.0,0.0,674.2066116,585.5555556,643.9122807,371.8333333,0.0,0.0,1,0
0.498614958,0.218836565,0.188365651,0.282548476,0.002770083,0.0,555.8,611.4050633,655.9117647,733.5196078,442.0,0.0,0,1
0.147699758,0.283292978,0.198547215,0.569007264,0.082324455,0.0,913.3114754,466.2991453,511.7682927,609.2978723,563.6176471,0.0,1,0
0.644444444,0.3,0.288888889,0.055555556,0.0,0.0,633.3103448,682.0,702.5384615,283.2,0.0,0.0,1,0
0.598360656,0.368852459,0.278688525,0.032786885,0.0,0.0,657.5753425,778.6,876.4117647,557.25,0.0,0.0,1,0
